Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Spectrum Health Blodgett Hospital,Grand Rapids,291,"15,394","74,910","$266,464"
Spectrum Health Butterworth Hospital,Grand Rapids,"1,387","69,396","317,501","$4,863,766"
Spectrum Health Ludington Hospital,Ludington,45,"1,843","7,089","$223,617"
Spectrum Health United Hospital,Greenville,88,"3,191","8,698","$279,920"
St. Joseph Mercy Ann Arbor,Ypsilanti,507,"33,096","130,509","$2,657,864"
Straith Hospital,Southfield,34,805,"6,039","$30,470"
Sturgis Hospital,Sturgis,49,"1,356","3,523","$92,672"
Surgeons Choice Medical Center,Southfield,71,467,"1,412","$111,293"
Three Rivers Health Medical Center,Three Rivers,60,982,"2,923","$162,417"
University of Michigan Hospitals and Health Centers,Ann Arbor,"1,006","44,920","287,361","$9,575,958"
UP Health System Portage,Hancock,96,"1,237","3,188","$153,909"
UPHS - Marquette,Marquette,301,"8,081","38,478","$1,044,523"
VA Ann Arbor Healthcare System,Ann Arbor,0,0,0,$0
War Memorial Hospital,Sault Saint Marie,120,"2,449","9,608","$246,734"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
M Health Fairview Lakes Medical Center,Wyoming,55,"3,165","10,245","$257,713"
Abbott Northwestern Hospital,Minneapolis,686,"34,199","165,549","$3,280,301"
Alomere Health,Alexandria,99,"3,523","12,055","$391,993"
Buffalo Hospital,Buffalo,44,"2,176","6,746","$187,816"
Cambridge Medical Center,Cambridge,70,"2,761","10,194","$197,219"
Carris Health - Rice Memorial Hospital,Willmar,159,"3,230","13,655","$292,364"
District One Hospital,Faribault,32,"1,498","4,418","$120,573"
Essentia Health - Saint Joseph's Medical Center,Brainerd,127,"4,856","19,544","$528,788"
Essentia Health - Virginia,Virginia,141,"1,521","5,201","$213,540"
Essentia Health Duluth,Duluth,139,"2,799","19,955","$953,592"
Essentia Health Saint Mary's - Detroit Lakes,Detroit Lakes,132,"2,111","6,776","$284,696"
Essentia Health Saint Mary's Medical Center,Duluth,307,"17,661","88,465","$1,167,710"
Fairview Range,Hibbing,73,"2,693","14,417","$272,857"
Grand Itasca Clinic & Hospital,Grand Rapids,36,"1,544","5,198","$220,542"
HealthEast Saint Joseph's Hospital,Saint Paul,234,"10,845","52,224","$898,473"
Hennepin Healthcare,Minneapolis,465,"17,773","84,658","$2,478,036"
Hutchinson Health Hospital,Hutchinson,49,"1,822","7,648","$186,512"
Lake Region Hospital,Fergus Falls,108,"1,984","6,760","$313,593"
Lakeview Hospital,Stillwater,68,"4,005","11,364","$277,017"
M Health Fairview Northland Medical Center,Princeton,33,"1,616","5,294","$190,209"
M Health Fairview Ridges Hospital,Burnsville,171,"11,478","47,203","$716,871"
M Health Fairview Southdale Hospital,Edina,334,"18,351","79,445","$1,305,850"
M Health Fairview St. John's Hospital,Maplewood,184,"12,135","45,242","$824,061"
M Health Fairview University of Minnesota Medical Center,Minneapolis,828,"29,064","181,347","$4,375,658"
M Health Fairview University of Minnesota Medical Center - West Bank Campus,Minneapolis,0,0,0,$0
Maple Grove Hospital,Maple Grove,134,"9,264","36,475","$463,885"
Mayo Clinic Health System in Albert Lea,Albert Lea,159,"4,361","15,896","$541,746"
Mayo Clinic Health System in Austin,Austin,82,"2,728","9,374","$18,785"
Mayo Clinic Health System in Fairmont,Fairmont,55,"1,198","3,997","$156,889"
Mayo Clinic Health System in Mankato,Mankato,167,"10,059","41,519","$863,598"
Mayo Clinic Health System in Red Wing,Red Wing,50,"2,211","5,265","$267,166"
Mayo Clinic Hospital - Methodist Campus,Rochester,300,"18,986","74,922","$1,050,568"
Mayo Clinic Hospital - Saint Mary's Campus,Rochester,"1,220","58,001","303,371","$5,148,178"
Mercy Hospital,Coon Rapids,481,"29,771","125,703","$1,995,540"
Mercy Hospital - Unity Campus,Fridley,164,"9,230","32,001","$460,332"
Methodist Hospital,Saint Louis Park,361,"22,641","89,027","$1,146,037"
Minneapolis VA Medical Center,Minneapolis,0,0,0,$0
North Memorial Health Hospital,Robbinsdale,385,"18,994","76,323","$1,915,306"
Northfield Hospital,Northfield,77,"1,929","5,657","$239,914"
Olmsted Medical Center,Rochester,61,"1,990","6,135","$376,737"
Owatonna Hospital,Owatonna,39,"2,119","6,320","$132,839"
Phillips Eye Institute,Minneapolis,8,1,6,"$79,059"
Red Lake IHS Hospital,Redlake,23,32,279,$0
Regina Hospital,Hastings,43,"1,275","3,464","$131,148"
Regions Hospital,Saint Paul,452,"26,407","135,990","$2,269,291"
Ridgeview Medical Center,Waconia,124,"6,375","22,993","$582,795"
Saint Cloud Hospital,Saint Cloud,477,"27,721","118,689","$2,297,867"
Saint Cloud VA Medical Center,Saint Cloud,0,0,0,$0
Saint Francis Regional Medical Center,Shakopee,89,"6,158","18,397","$356,959"
Saint Luke's Hospital,Duluth,257,"11,461","57,832","$1,011,421"
Sanford Bemidji Medical Center,Bemidji,196,"4,540","21,700","$684,472"
Sanford Worthington Medical Center,Worthington,48,"1,077","3,465","$95,932"
United Hospital,Saint Paul,365,"23,750","99,701","$1,863,329"
Winona Community Memorial Hospital,Winona,41,"1,748","6,591","$216,131"
Woodwinds Health Campus,Woodbury,86,"7,920","24,948","$507,105"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
University of Missouri Women's and Children's Hospital,Columbia,98,"6,077","27,099","$285,682"
Barnes-Jewish Hospital,Saint Louis,"1,368","49,494","286,816","$5,992,622"
Barnes-Jewish Saint Peters Hospital,Saint Peters,113,"5,350","20,715","$429,399"
Barnes-Jewish West County Hospital,Creve Coeur,77,"2,845","6,223","$436,818"
Bates County Memorial Hospital,Butler,44,825,"2,958","$106,236"
Belton Regional Medical Center,Belton,71,"3,557","10,589","$509,525"
Boone Hospital Center,Columbia,350,"12,845","56,553","$934,585"
Bothwell Regional Health Center,Sedalia,108,"3,923","15,340","$346,815"
Cameron Regional Medical Center,Cameron,51,"1,601","5,551","$169,143"
Capital Region Medical Center,Jefferson City,114,"5,319","18,742","$597,913"
Capital Region Southwest Campus,Jefferson City,0,0,0,$0
Centerpoint Medical Center,Independence,281,"16,651","66,617","$2,289,660"
Christian Hospital,Saint Louis,223,"12,659","61,368","$1,093,893"
Citizens Memorial Hospital,Bolivar,72,"3,141","9,487","$428,108"
Cox Medical Center Branson,Branson,118,"6,241","27,548","$750,006"
Cox Medical Center South,Springfield,0,0,0,$0
Cox North Hospital,Springfield,680,"31,736","161,938","$3,680,234"
Fitzgibbon Hospital,Marshall,52,"1,384","4,336","$125,720"
Freeman West,Joplin,391,"16,999","85,482","$2,141,926"
Fulton Medical Center,Fulton,37,143,332,"$28,328"
General Leonard Wood Army Community Hospital,Fort Leonard Wood,0,0,0,$0
Golden Valley Memorial Hospital,Clinton,42,"2,051","7,237","$310,508"
Hannibal Regional Hospital,Hannibal,99,"4,358","16,222","$426,903"
Harry S. Truman Memorial Veterans' Hospital,Columbia,0,0,0,$0
John Cochran Division,Saint Louis,0,0,0,$0
John J. Pershing VA Medical Center,Poplar Bluff,0,0,0,$0
Kansas City VA Medical Center,Kansas City,0,0,0,$0
Lake Regional Health System,Osage Beach,116,"4,705","15,879","$543,313"
Lee's Summit Medical Center,Lee's Summit,80,"4,168","14,342","$575,821"
Liberty Hospital,Liberty,199,"7,747","32,282","$748,119"
Mercy Children's Hospital Saint Louis,Saint Louis,0,0,0,$0
Mercy Children's Hospital Springfield,Springfield,0,0,0,$0
Mercy Heart and Vascular Hospital Saint Louis,Saint Louis,0,0,0,$0
Mercy Hospital Jefferson,Festus,321,"9,618","42,108","$792,628"
Mercy Hospital Joplin,Joplin,240,"12,793","58,466","$990,109"
Mercy Hospital Lebanon,Lebanon,43,"2,497","6,103","$289,203"
Mercy Hospital Saint Louis,Saint Louis,859,"41,026","228,212","$3,960,135"
Mercy Hospital South,Saint Louis,767,"26,057","123,678","$1,680,804"
Mercy Hospital Springfield,Springfield,665,"36,279","176,726","$3,894,850"
Mercy Hospital Washington,Washington,148,"6,706","22,181","$895,010"
Missouri Baptist Medical Center,Saint Louis,426,"21,022","96,662","$1,768,843"
Missouri Delta Medical Center,Sikeston,133,"3,276","13,231","$339,833"
Moberly Regional Medical Center,Moberly,51,919,"2,694","$229,499"
Mosaic Life Care at St. Joseph Medical Center,Saint Joseph,352,"21,465","72,356","$1,299,870"
Mosaic Medical Center - Maryville,Maryville,52,"1,115","2,735","$109,014"
Nevada Regional Medical Center,Nevada,71,976,"3,100","$99,757"
North Kansas City Hospital,North Kansas City,411,"13,097","84,421","$1,842,372"
Northeast Regional Medical Center,Kirksville,51,"2,309","8,206","$327,020"
Ozarks Medical Center,West Plains,103,"5,687","19,661","$449,184"
Parkland Health Center - Farmington,Farmington,108,"3,209","10,124","$327,603"
Pemiscot Memorial Main Hospital,Hayti,167,"1,428","5,565","$84,053"
Phelps Health Hospital,Rolla,242,"4,963","19,524","$901,953"
Poplar Bluff Regional Medical Center - Oak Grove,Poplar Bluff,232,"11,000","47,531","$1,502,951"
Progress West Hospital,O'Fallon,68,"3,300","12,732","$218,750"
Research Medical Center,Kansas City,442,"16,398","90,052","$3,169,050"
Saint Alexius Hospital - Broadway Campus,Saint Louis,178,"2,534","19,589","$150,325"
Saint Francis Medical Center,Cape Girardeau,307,"10,055","49,798","$2,206,268"
Saint Joseph Medical Center,Kansas City,141,"6,316","25,250","$714,629"
Saint Luke's Des Peres Hospital,Saint Louis,88,"3,255","9,494","$399,097"
Saint Luke's East Hospital,Lee's Summit,184,"13,566","55,824","$1,391,863"
Saint Luke's Hospital,Chesterfield,464,"14,702","68,296","$1,657,627"
Saint Luke's Hospital of Kansas City,Kansas City,460,"21,183","125,303","$3,189,020"
Saint Luke's North Hospital - Barry Road,Kansas City,0,0,0,$0
Saint Luke's North Hospital - Smithville,Smithville,130,"7,198","28,863","$656,435"
Saint Mary's Medical Center,Blue Springs,83,"4,690","17,366","$497,519"
Southeast Health Center of Stoddard County,Dexter,48,"1,508","4,841","$84,093"
Southeast Hospital,Cape Girardeau,194,"7,639","40,153","$1,113,506"
SSM Health Saint Clare Hospital - Fenton,Fenton,180,"12,032","43,406","$717,911"
SSM Health Saint Joseph Hospital-Saint Charles,Saint Charles,256,"13,836","60,222","$804,686"
SSM Health DePaul Hospital - St. Louis,Bridgeton,516,"25,205","105,281","$1,582,353"
SSM Health Rehabilitation Hospital - Bridgeton,Bridgeton,0,0,0,$0
SSM Health Rehabilitation Hospital- Lake Saint Louis,Lake Saint Louis,0,0,0,$0
SSM Health Saint Joseph Health Center - Wentzville,Wentzville,86,588,"1,071","$25,961"
SSM Health Saint Joseph Hospital - Lake Saint Louis,Lake Saint Louis,199,"10,902","37,284","$688,537"
SSM Health Saint Louis University Hospital,Saint Louis,327,"21,743","89,302","$2,306,321"
SSM Health Saint Mary's Hospital - Audrain,Mexico,60,"1,598","4,571","$162,814"
SSM Health Saint Mary's Hospital - Jefferson City,Jefferson City,167,"6,861","26,602","$431,517"
SSM Health Saint Mary's Hospital - Saint Louis,Saint Louis,676,"28,259","106,887","$2,087,284"
Texas County Memorial Hospital,Houston,47,"1,191","3,701","$79,865"
TMC Health Sciences District.,Kansas City,238,"12,317","73,618","$797,319"
Truman Medical Center Lakewood,Kansas City,298,"4,416","22,452","$284,036"
University of Missouri Hospital,Columbia,591,"25,942","137,555","$3,250,369"
Western Missouri Medical Center,Warrensburg,58,"2,468","8,485","$247,605"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Commonwealth Health Center,Saipan,74,"4,687","17,728",$0
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
81st Medical Group - Keesler Medical Center,Keesler Air Force Base,0,0,0,$0
Alliance Health Center,Meridian,154,"1,177","6,765","$80,769"
Alliance Hospital,Holly Springs,40,331,"1,528","$29,076"
Anderson Regional Medical Center North,Meridian,260,"11,561","48,914","$705,195"
Anderson Regional Medical Center South,Meridian,69,1,1,"$55,414"
Baptist Memorial Hospital - Booneville,Booneville,54,591,"2,288","$71,087"
Baptist Memorial Hospital - DeSoto,Southaven,339,"16,829","77,978","$1,401,349"
Baptist Memorial Hospital - Golden Triangle,Columbus,211,"6,464","23,935","$727,117"
Baptist Memorial Hospital - North Mississippi,Oxford,182,"8,502","35,128","$805,179"
Baptist Memorial Hospital - Union County,New Albany,92,"2,865","10,097","$247,930"
Beacham Memorial Hospital,Magnolia,31,346,"1,297","$8,745"
Bolivar Medical Center,Cleveland,164,"2,834","9,531","$407,613"
Choctaw Hospital,Philadelphia,20,195,672,$0
Conerly Critical Care Hospital,Jackson,0,0,0,$0
Delta Regional Medical Center,Greenville,201,"5,886","29,301","$299,978"
Forrest General Hospital,Hattiesburg,471,"26,137","122,127","$1,561,411"
G.V. Sonny Montgomery VA Medical Center,Jackson,0,0,0,$0
Garden Park Medical Center,Gulfport,121,"3,177","11,977","$643,669"
George Regional Hospital,Lucedale,42,986,"3,465","$62,542"
Greenwood Leflore Hospital,Greenwood,193,"4,622","19,880","$357,204"
Gulf Coast Veterans Health Care System,Biloxi,0,0,0,$0
Highland Community Hospital,Picayune,49,"1,632","6,456","$125,445"
Jasper General Hospital,Bay Springs,20,18,64,"$15,680"
Jefferson Comprehensive Health Center,Fayette,30,120,414,"$21,239"
King's Daughters Medical Center,Brookhaven,90,"2,575","7,651","$270,584"
Magee General Hospital,Magee,44,590,"2,335","$35,866"
Magnolia Regional Health Center,Corinth,182,"8,131","32,094","$777,792"
Marion General Hospital,Columbia,49,802,"3,100","$48,404"
Memorial Hospital at Gulfport,Gulfport,281,"16,550","72,150","$3,922,760"
Merit Health Biloxi,Biloxi,177,"6,766","28,828","$1,043,836"
Merit Health Central,Jackson,319,"6,446","31,556","$1,496,364"
Merit Health Madison,Canton,67,"1,588","5,459","$234,579"
Merit Health Natchez,Natchez,179,"3,960","19,496","$545,223"
Merit Health Rankin,Brandon,134,"1,412","5,738","$314,559"
Merit Health River Oaks,Flowood,158,"4,755","20,054","$1,067,758"
Merit Health River Region,Vicksburg,321,"6,919","36,941","$971,617"
Merit Health Wesley,Hattiesburg,167,"6,019","25,549","$953,890"
Merit Health Woman's Hospital,Jackson,33,"1,260","5,533","$211,887"
Methodist Olive Branch Hospital,Olive Branch,53,"10,904","10,669","$313,254"
Methodist Rehabilitation Center,Jackson,124,0,0,"$99,621"
Mississippi Baptist Medical Center,Jackson,446,"19,840","95,719","$1,697,483"
Neshoba County General Hospital,Philadelphia,208,"1,262","3,810","$104,164"
North Mississippi Medical Center - Eupora,Eupora,38,"1,080","3,629","$83,285"
North Mississippi Medical Center - Iuka,Iuka,48,712,"2,177","$55,141"
North Mississippi Medical Center - Tupelo,Tupelo,621,"23,916","115,699","$2,782,583"
North Mississippi Medical Center - West Point,West Point,49,"1,526","5,242","$171,630"
North Mississippi Medical Center Gilmore - Amory,Amory,95,"2,441","10,145","$220,362"
North Mississippi Medical Center Women's Hospital,Tupelo,0,0,0,$0
Northwest Mississippi Medical Center,Clarksdale,181,"2,078","11,449","$321,321"
Ocean Springs Hospital,Ocean Springs,0,0,0,$0
OCH Regional Medical Center,Starkville,88,"1,396","8,457","$198,832"
Ochsner Medical Center - Hancock,Bay Saint Louis,47,"1,079","3,533","$93,543"
Panola Medical Center,Batesville,67,"2,066","9,465","$137,200"
Pascagoula Hospital,Pascagoula,390,"17,303","68,892","$2,116,640"
Patients Choice Medical Center of Smith County,Raleigh,29,2,5,"$3,691"
Rush Foundation Hospital,Meridian,182,"5,941","23,103","$405,917"
Saint Dominic Hospital,Jackson,571,"24,967","124,047","$1,413,996"
Sharkey-Issaquena Community Hospital,Rolling Fork,83,226,"1,121","$20,412"
South Central Regional Medical Center,Laurel,268,"8,478","37,562","$359,138"
South Sunflower County Hospital,Indianola,47,"1,039","2,733","$44,895"
Southwest Mississippi Regional Medical Center,McComb,160,"5,009","16,458","$364,848"
Trace Regional Hospital,Houston,120,108,370,"$26,942"
UMMC Grenada,Grenada,49,"1,786","7,278","$169,296"
University of Mississippi Medical Center,Jackson,698,"30,747","213,626","$3,575,645"
Wayne General Hospital,Waynesboro,49,"1,445","6,879","$61,269"
West Campus of Delta Regional Medical Center,Greenville,113,"2,861","10,753","$115,156"
Whitfield Medical Surgical Hospital,Whitfield,32,136,"1,196",$0
Winfred L Wiser Hospital for Women and Infants,Jackson,0,0,0,$0
Winston Medical Center,Louisville,144,319,"1,219","$41,828"
Yalobusha General Hospital,Water Valley,26,673,"2,144","$35,452"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Benefis East Campus,Great Falls,478,"9,884","43,067","$1,034,338"
Benefis Healthcare - West Campus,Great Falls,0,0,0,$0
Billings Clinic Hospital,Billings,301,"15,822","78,049","$1,429,346"
Blackfeet Community Hospital,Browning,26,491,"1,958",$0
Bozeman Health Big Sky Medical Center,Big Sky,4,48,83,"$11,673"
Bozeman Health Deaconess Hospital,Bozeman,83,"7,039","22,168","$524,931"
Community Medical Center,Missoula,151,"4,490","20,936","$365,069"
Great Falls Clinic Hospital,Great Falls,20,"1,274","3,817","$172,348"
Kalispell Regional Medical Center,Kalispell,288,"8,928","41,170","$832,422"
Montana Children's Medical Center,Kalispell,0,0,0,$0
Northern Montana Hospital,Havre,184,"1,129","3,612","$137,784"
Providence Saint Patrick Hospital,Missoula,188,"9,651","40,779","$761,428"
Saint Peter's Hospital,Helena,125,"7,371","21,779","$456,053"
Saint Vincent Healthcare,Billings,256,"15,762","50,841","$1,241,031"
St. James Healthcare,Butte,71,"3,623","14,831","$347,078"
The HealthCenter,Kalispell,27,463,"1,258","$179,997"
VA Medical Center and Ambulatory Care Clinic,Fort Harrison,0,0,0,$0
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
AdventHealth Hendersonville,Hendersonville,98,"3,375","14,009","$572,223"
Alamance Regional Medical Center,Burlington,212,"9,944","36,522","$746,372"
Atrium Health Anson,Wadesboro,15,341,750,"$89,101"
Atrium Health Cabarrus,Concord,457,"25,750","110,544","$2,381,292"
Atrium Health Cleveland,Shelby,241,"8,653","35,584","$933,967"
Atrium Health Kings Mountain,Kings Mountain,62,"1,717","7,226","$220,434"
Atrium Health Lincoln,Lincolnton,101,"4,571","19,725","$571,654"
Atrium Health Mercy,Charlotte,0,0,0,$0
Atrium Health Pineville,Charlotte,250,"16,914","71,440","$1,700,785"
Atrium Health Stanly,Albemarle,109,"3,313","12,279","$404,346"
Atrium Health Union,Monroe,252,"8,954","35,302","$990,848"
Atrium Health University City,Charlotte,100,"6,968","29,611","$946,276"
Betsy Johnson Regional Hospital,Dunn,151,"5,586","18,042","$386,123"
Brenner Children's Hospital,Winston-Salem,0,0,0,$0
Caldwell Memorial Hospital,Lenoir,110,"4,338","20,350","$381,562"
Cape Fear Valley Hoke Hospital,Raeford,41,"1,345","2,991","$140,579"
Cape Fear Valley Medical Center,Fayetteville,656,"34,079","178,835","$2,694,112"
CarolinaEast Medical Center,New Bern,306,"13,993","64,783","$1,180,600"
Carolinas HealthCare System - Blue Ridge,Morgantown,156,"6,994","28,897","$891,733"
Carolinas Medical Center,Charlotte,"1,257","62,650","327,442","$8,254,196"
CaroMont Regional Medical Center,Gastonia,383,"23,028","107,417","$1,906,321"
Carteret Healthcare,Morehead City,99,"6,061","27,207","$439,328"
Catawba Valley Medical Center,Hickory,258,"11,849","38,176","$1,061,978"
Central Carolina Hospital,Sanford,127,"4,879","15,736","$424,105"
Central Harnett Hospital,Lillington,0,0,0,$0
Central Prison Hospital,Raleigh,0,0,0,$0
Charles George VA Medical Center - Asheville NC,Asheville,0,0,0,$0
Cherokee Indian Hospital,Cherokee,20,821,"1,787",$0
Columbus Regional Healthcare System,Whiteville,154,"4,279","17,553","$280,648"
Cone Health Annie Penn Hospital,Reidsville,152,"3,661","15,686","$86,584"
Cone Health Wesley Long Hospital,Greensboro,0,0,0,$0
Cone Health Women's Hospital,Greensboro,0,0,0,$0
Davis Regional Medical Center,Statesville,140,"3,643","16,789","$359,420"
Duke Raleigh Hospital,Raleigh,175,"9,605","48,703","$1,936,438"
Duke Regional Hospital,Durham,354,"15,952","73,688","$1,370,950"
Duke University Hospital,Durham,977,"43,055","309,836","$8,226,868"
Durham VA Medical Center,Durham,0,0,0,$0
Fayetteville VA Medical Center,Fayetteville,0,0,0,$0
FirstHealth Moore Regional Hospital,Pinehurst,449,"23,538","103,104","$2,095,872"
FirstHealth Moore Regional Hospital-Hoke Campus,Raeford,0,0,0,$0
FirstHealth Moore Regional Hospital-Richmond,Rockingham,141,"3,427","12,150","$116,192"
Frye Regional Medical Center,Hickory,355,"7,740","31,507","$1,286,564"
Granville Medical Center,Oxford,122,"2,337","7,390","$156,451"
Harris Regional Hospital,Sylva,82,"3,721","13,909","$373,335"
Haywood Regional Medical Center,Clyde,138,"4,614","17,613","$545,659"
Hugh Chatham Memorial Hospital,Elkin,81,"3,755","12,627","$316,711"
Iredell Memorial Hospital,Statesville,203,"7,363","33,473","$568,303"
Johnston Health Clayton,Clayton,0,0,0,$0
Johnston Health Smithfield,Smithfield,199,"11,459","37,585","$1,001,509"
Lake Norman Regional Medical Center,Mooresville,123,"5,413","16,090","$708,480"
Lenoir UNC Health Care,Kinston,"1,103","5,520","25,447","$285,727"
Maria Parham Medical Center,Henderson,102,"4,446","18,019","$465,834"
Martin General Hospital,Williamston,43,"1,140","4,326","$171,959"
Maynard Children's Hospital,Greenville,0,0,0,$0
Mission Hospital - Memorial Campus,Asheville,727,"33,864","197,974","$4,000,479"
Mission Hospital McDowell,Marion,49,"2,014","8,231","$235,691"
Mission Saint Joseph Campus,Asheville,0,0,0,$0
Nash General Hospital,Rocky Mount,345,"11,870","53,792","$909,379"
Naval Hospital Camp Lejeune,Camp Lejeune,0,0,0,$0
New Hanover Regional Medical Center,Wilmington,738,"37,232","188,101","$3,491,309"
New Hanover Regional Medical Center - Orthopedic Hospital,Wilmington,94,"3,813","15,775","$70,996"
North Carolina Specialty Hospital,Durham,18,"1,621","3,112","$119,210"
Northern Hospital of Surry County,Mount Airy,133,"4,098","13,174","$233,124"
Novant Health Brunswick Medical Center,Bolivia,61,"4,202","15,379","$386,872"
Novant Health Charlotte Orthopaedic Hospital,Charlotte,80,"3,449","8,860","$299,094"
Novant Health Forsyth Medical Center,Winston-Salem,901,"42,420","240,460","$3,670,104"
Novant Health Huntersville Medical Center,Huntersville,93,"9,010","27,699","$640,072"
Novant Health Kernersville Medical Center,Kernersville,0,0,0,$0
Novant Health Matthews Medical Center,Matthews,123,"10,279","41,791","$793,002"
Novant Health Medical Park Hospital,Winston-Salem,22,895,"2,718","$176,154"
Novant Health Mint Hill Medical Center,Mint Hill,28,"1,416","4,740","$131,317"
Novant Health Presbyterian Medical Center,Charlotte,602,"27,191","141,500","$3,032,915"
Novant Health Rowan Medical Center,Salisbury,199,"9,946","44,771","$767,857"
Novant Health Thomasville Medical Center,Thomasville,119,"3,767","13,988","$296,992"
Onslow Memorial Hospital,Jacksonville,162,"7,877","32,651","$450,711"
Pardee Hospital,Hendersonville,160,"8,216","31,886","$704,403"
Person Memorial Hospital,Roxboro,98,986,"3,392","$153,820"
Randolph Hospital,Asheboro,145,"5,284","14,712","$310,068"
Rutherford Hospital,Rutherfordton,125,"3,170","11,012","$367,752"
Sampson Regional Medical Center,Clinton,71,"2,942","10,616","$189,387"
Scotland Memorial Hospital,Laurinburg,104,"6,186","20,168","$532,171"
Sentara Albemarle Medical Center,Elizabeth City,91,"4,818","20,294","$360,513"
Southeastern Regional Medical Center,Lumberton,371,"14,062","70,324","$880,541"
The Moses H. Cone Memorial Hospital,Greensboro,831,"45,618","194,807","$3,150,180"
UNC Hospitals Hillsborough Campus,Hillsborough,0,0,0,$0
UNC Medical Center,Chapel Hill,937,"37,342","254,763","$5,209,505"
UNC Rex Healthcare,Raleigh,559,"28,737","122,933","$3,092,382"
UNC Rockingham Health Care,Eden,229,"3,207","10,875","$168,641"
Vidant Beaufort Hospital,Washington,91,"2,867","12,743","$207,208"
Vidant Duplin Hospital,Kenansville,74,"2,446","9,104","$146,379"
Vidant Edgecombe Hospital,Tarboro,117,"3,219","15,162","$262,181"
Vidant Medical Center,Greenville,943,"37,679","227,741","$3,000,858"
Vidant North Hospital,Roanoke Rapids,124,"4,733","20,116","$280,288"
Vidant Roanoke-Chowan Hospital,Ahoskie,98,"3,246","13,832","$208,595"
"W. G. (Bill) Hefner VA Medical Center - Salisbury, NC",Salisbury,0,0,0,$0
Wake Forest Baptist Health - Wilkes Medical Center,North Wilkesboro,103,"3,609","11,808","$281,029"
Wake Forest Baptist Health -High Point Medical Center,High Point,304,"15,376","67,732","$1,152,800"
Wake Forest Baptist Health Davie Medical Center,Bermuda Run,18,"1,694","3,754","$293,039"
Wake Forest Baptist Health Lexington Medical Center,Lexington,80,"3,849","12,415","$388,044"
Wake Forest Baptist Medical Center,Winston-Salem,870,"36,712","233,152","$6,190,811"
WakeMed Cary Hospital,Cary,178,"11,748","49,256","$1,005,280"
WakeMed North Family Health and Women's Hospital,Raleigh,0,0,0,$0
WakeMed Raleigh Campus,Raleigh,683,"32,284","170,573","$3,614,177"
Watauga Medical Center,Boone,95,"4,218","14,368","$371,509"
Wayne UNC Health Care,Goldsboro,261,"10,306","49,863","$620,159"
Wilmington Treatment Center,Wilmington,92,"1,207","17,802","$42,599"
Wilson Medical Center,Wilson,294,"6,650","26,771","$559,909"
Womack Army Medical Center,Fort Bragg,0,0,0,$0
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Altru Hospital,Grand Forks,294,"12,901","55,185","$1,414,071"
CHI Saint Alexius Health Bismarck,Bismarck,225,"7,677","35,449","$584,997"
Cobalt Rehabilitation Hospital - Fargo,Fargo,0,0,0,$0
Essentia Health Fargo,Fargo,133,"8,364","34,977","$887,994"
Fargo VA Health Care System,Fargo,0,0,0,$0
Fort Yates Hospital,Fort Yates,12,50,185,$0
Quentin N. Burdick Memorial Health Care Facility,Belcourt,27,530,"2,388",$0
Sanford Bismarck Medical Center,Bismarck,227,"10,882","54,797","$1,138,164"
Sanford Medical Center Fargo,Fargo,512,"25,373","119,590","$3,039,521"
Sanford South University Medical Center,Fargo,145,"2,887","14,376","$125,251"
Trinity Hospital,Minot,428,"7,128","33,344","$1,234,460"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Bryan Medical Center - East Campus,Lincoln,574,"24,028","122,963","$1,736,289"
Bryan Medical Center - West Campus,Lincoln,230,"7,683","43,032","$321,868"
CHI Health Creighton University Medical Center - Bergan Mercy,Omaha,385,"23,238","110,271","$1,659,211"
CHI Health Good Samaritan,Kearney,239,"6,989","31,395","$494,749"
CHI Health Immanuel,Omaha,232,"9,702","41,718","$666,647"
CHI Health Lakeside,Omaha,108,"6,545","23,144","$579,402"
CHI Health Midlands,Papillion,28,651,"1,667","$123,593"
CHI Health Nebraska Heart,Lincoln,54,"2,707","6,213","$185,338"
CHI Health Saint Elizabeth,Lincoln,235,"7,655","32,107","$527,128"
CHI Health Saint Francis,Grand Island,186,"6,107","21,993","$540,381"
Columbus Community Hospital,Columbus,47,"1,793","5,697","$168,264"
Faith Regional Health Services,Norfolk,129,"4,985","20,255","$375,168"
Great Plains Health,North Platte,116,"5,195","19,087","$584,010"
Kearney Regional Medical Center,Kearney,94,"2,710","12,902","$358,108"
Lincoln Surgical Hospital,Lincoln,21,"1,313","1,763","$138,286"
Mary Lanning Memorial Hospital,Hastings,143,"4,211","16,240","$385,513"
